linearWeight,quadraticWeight,minChance,maxChance,scale,midpoint,avgTotalGoals,closeGameDrawRate,homeDominantConversion,goalDelta,closeDrawDelta,dominantDelta,targetScore
75,25,4,40,36,22.00,8.590,0.1497,0.6221,1.240,0.0497,0.0779,0.1191
70,30,1,45,44,23.00,8.943,0.1472,0.6680,1.593,0.0472,0.0320,0.1192
40,60,0,32,32,16.00,6.157,0.1749,0.6578,1.193,0.0749,0.0422,0.1193
60,40,3,43,40,23.00,8.943,0.1461,0.6656,1.593,0.0461,0.0344,0.1194
55,45,3,43,40,23.00,8.959,0.1476,0.6689,1.609,0.0476,0.0311,0.1199
75,25,3,31,28,17.00,6.603,0.1726,0.5877,0.747,0.0726,0.1123,0.1202
75,25,1,45,44,23.00,8.958,0.1472,0.6663,1.608,0.0472,0.0337,0.1205
60,40,5,29,24,17.00,6.603,0.1723,0.5863,0.747,0.0723,0.1137,0.1205
40,60,5,41,36,23.00,8.975,0.1457,0.6650,1.625,0.0457,0.0350,0.1210
45,55,5,41,36,23.00,8.943,0.1460,0.6603,1.593,0.0460,0.0397,0.1211
50,50,0,32,32,16.00,6.205,0.1753,0.6468,1.145,0.0753,0.0532,0.1211
45,55,0,32,32,16.00,6.157,0.1756,0.6538,1.193,0.0756,0.0462,0.1211
55,45,5,29,24,17.00,6.587,0.1726,0.5869,0.763,0.0726,0.1131,0.1213
40,60,8,36,28,22.00,8.607,0.1496,0.6170,1.257,0.0496,0.0829,0.1216
45,55,8,36,28,22.00,8.575,0.1501,0.6109,1.225,0.0501,0.0891,0.1225
55,45,0,32,32,16.00,6.204,0.1754,0.6419,1.146,0.0754,0.0581,0.1229
35,65,2,30,28,16.00,6.204,0.1754,0.6419,1.146,0.0754,0.0581,0.1229
30,70,2,30,28,16.00,6.204,0.1754,0.6419,1.146,0.0754,0.0581,0.1229
65,35,3,43,40,23.00,8.975,0.1462,0.6567,1.625,0.0462,0.0433,0.1241
75,25,6,38,32,22.00,8.575,0.1499,0.6049,1.225,0.0499,0.0951,0.1245
70,30,6,38,32,22.00,8.575,0.1499,0.6049,1.225,0.0499,0.0951,0.1245
55,45,8,36,28,22.00,8.575,0.1499,0.6049,1.225,0.0499,0.0951,0.1245
50,50,8,36,28,22.00,8.575,0.1499,0.6049,1.225,0.0499,0.0951,0.1245
65,35,5,29,24,17.00,6.587,0.1727,0.5781,0.763,0.0727,0.1219,0.1245
30,70,10,34,24,22.00,8.559,0.1502,0.6016,1.209,0.0502,0.0984,0.1250
50,50,5,41,36,23.00,8.990,0.1461,0.6559,1.640,0.0461,0.0441,0.1251
60,40,0,32,32,16.00,6.172,0.1757,0.6387,1.178,0.0757,0.0613,0.1258
45,55,2,46,44,24.00,9.324,0.1435,0.7030,1.974,0.0435,0.0030,0.1259
40,60,2,30,28,16.00,6.204,0.1753,0.6326,1.146,0.0753,0.0674,0.1261
60,40,8,36,28,22.00,8.576,0.1486,0.5979,1.226,0.0486,0.1021,0.1262
65,35,0,48,48,24.00,9.308,0.1442,0.6946,1.958,0.0442,0.0054,0.1263
35,65,10,34,24,22.00,8.559,0.1504,0.5982,1.209,0.0504,0.1018,0.1263
55,45,0,48,48,24.00,9.308,0.1444,0.7063,1.958,0.0444,0.0063,0.1267
60,40,0,48,48,24.00,9.339,0.1437,0.7038,1.989,0.0437,0.0038,0.1270
70,30,3,43,40,23.00,8.990,0.1464,0.6504,1.640,0.0464,0.0496,0.1272
30,70,4,44,40,24.00,9.371,0.1433,0.6989,2.021,0.0433,0.0011,0.1274
55,45,5,41,36,23.00,8.958,0.1475,0.6472,1.608,0.0475,0.0527,0.1274
65,35,8,36,28,22.00,8.560,0.1490,0.5917,1.210,0.0490,0.1083,0.1279
40,60,2,46,44,24.00,9.356,0.1433,0.7062,2.006,0.0433,0.0062,0.1284
70,30,5,29,24,17.00,6.570,0.1729,0.5694,0.780,0.0729,0.1306,0.1285
45,55,2,30,28,16.00,6.172,0.1746,0.6259,1.178,0.0746,0.0741,0.1296
65,35,0,32,32,16.00,6.140,0.1753,0.6316,1.210,0.0753,0.0684,0.1296
75,25,5,29,24,17.00,6.570,0.1729,0.5658,0.780,0.0729,0.1342,0.1297
35,65,2,46,44,24.00,9.323,0.1428,0.7160,1.973,0.0428,0.0160,0.1299
50,50,2,46,44,24.00,9.403,0.1433,0.6957,2.053,0.0433,0.0043,0.1301
45,55,0,48,48,24.00,9.308,0.1428,0.7196,1.958,0.0428,0.0196,0.1305
60,40,5,41,36,23.00,8.974,0.1480,0.6414,1.624,0.0480,0.0586,0.1305
75,25,3,43,40,23.00,8.991,0.1479,0.6432,1.641,0.0479,0.0568,0.1306
50,50,0,48,48,24.00,9.340,0.1428,0.7164,1.990,0.0428,0.0164,0.1309
70,30,0,48,48,24.00,9.325,0.1447,0.6848,1.975,0.0447,0.0152,0.1309
65,35,5,41,36,23.00,8.959,0.1478,0.6348,1.609,0.0478,0.0652,0.1319
35,65,4,44,40,24.00,9.419,0.1434,0.6926,2.069,0.0434,0.0074,0.1321
75,25,0,48,48,24.00,9.311,0.1459,0.6811,1.961,0.0459,0.0189,0.1322
75,25,0,32,32,16.00,6.172,0.1752,0.6192,1.178,0.0752,0.0808,0.1323
70,30,0,32,32,16.00,6.172,0.1752,0.6192,1.178,0.0752,0.0808,0.1323
55,45,2,30,28,16.00,6.172,0.1752,0.6192,1.178,0.0752,0.0808,0.1323
50,50,2,30,28,16.00,6.172,0.1752,0.6192,1.178,0.0752,0.0808,0.1323
30,70,2,46,44,24.00,9.340,0.1427,0.7219,1.990,0.0427,0.0219,0.1328
